IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
73.102.212.159,0,j,1,4.5198,0,0,0,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.6414,0,1,1,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.5581,0,2,2,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.9535,0,3,3,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.0854,1,0,4,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.822,1,1,5,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,2.3061,1,2,6,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,2.1543,1,3,7,0,1,f.PNG,f,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.9936,2,0,8,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.4449,2,1,9,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,2.225,2,2,10,0,1,f.PNG,f,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,4.7916,2,3,11,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.3072,3,0,12,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,2.417,3,1,13,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.1236,3,2,14,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.2552,3,3,15,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.3302,4,0,16,0,1,f.PNG,f,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.9901,4,1,17,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.0215,4,2,18,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.6489,4,3,19,0,1,f.PNG,f,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.5215,5,0,20,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8605,5,1,21,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.1568,5,2,22,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8611,5,3,23,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.5789,6,0,24,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.3606,6,1,25,0,1,f.PNG,f,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,2.3947,6,2,26,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.104,6,3,27,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.0629,7,0,28,0,1,f.PNG,f,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,2.4755,7,1,29,1,1,g.PNG,g,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.1179,7,2,30,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,4.0262,7,3,31,2,1,h.PNG,h,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,7.884,8,0,32,3,1,j.PNG,j,5e94c36719906c0b953bea4c,2021-09-08_21h05.23.061,forced_choiceRT,2021.1.2,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,
