IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
74.85.117.130,0,g,1,2.0139,0,0,0,1,1,g.PNG,g,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,4.464,0,1,1,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.1525,0,2,2,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.284,0,3,3,3,1,j.PNG,j,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,0,1.5997,1,0,4,1,1,g.PNG,g,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.5611,1,1,5,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0294,1,2,6,1,1,g.PNG,g,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.1942,1,3,7,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.9523,2,0,8,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.7798,2,1,9,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.9508,2,2,10,0,1,f.PNG,f,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0476,2,3,11,1,1,g.PNG,g,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.9003,3,0,12,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8673,3,1,13,0,1,f.PNG,f,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.6212,3,2,14,0,1,f.PNG,f,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8017,3,3,15,0,1,f.PNG,f,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.1171,4,0,16,3,1,j.PNG,j,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.8999,4,1,17,2,1,h.PNG,h,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.2449,4,2,18,3,1,j.PNG,j,5eb89eb4adb9350fb8fc895c,2021-09-08_19h56.20.859,forced_choiceRT,2021.1.2,MacIntel,59.97720866,,,,,,,,,,,,,,,,,,,,,,
