IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
172.218.202.44,0,h,1,4.2413,0,0,0,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,6.1661,0,1,1,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.6582,0,2,2,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.3805,0,3,3,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.4152,1,0,4,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.7822,1,1,5,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.3048,1,2,6,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.7805,1,3,7,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.1998,2,0,8,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.2928,2,1,9,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.1735,2,2,10,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.2662,2,3,11,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.2261,3,0,12,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9092,3,1,13,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.6647,3,2,14,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.17,3,3,15,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.3105,4,0,16,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.3323,4,1,17,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.6068,4,2,18,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.4323,4,3,19,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,3.62,5,0,20,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.4842,5,1,21,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.4705,5,2,22,3,1,j.PNG,j,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,3.1066,5,3,23,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.4327,6,0,24,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.066,6,1,25,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.222,6,2,26,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.4159,6,3,27,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.4664,7,0,28,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.3097,7,1,29,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.1246,7,2,30,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.8388,7,3,31,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6991,8,0,32,2,1,h.PNG,h,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.1348,8,1,33,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6464,8,2,34,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.2225,8,3,35,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8045,9,0,36,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.1804,9,1,37,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.1883,9,2,38,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7688,9,3,39,1,1,g.PNG,g,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.0311,10,0,40,0,1,f.PNG,f,60b05d5bc60741f30dd410a0,2021-09-08_17h53.53.079,forced_choiceRT,2021.1.2,Win32,57.34931468,,,,,,,,,,,,,,,,,,,,,,
