IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
73.148.87.218,0,f,1,1.851,0,0,0,0,1,f.PNG,f,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.551,0,1,1,2,1,h.PNG,h,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.948,0,2,2,3,1,j.PNG,j,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.385,0,3,3,2,1,h.PNG,h,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.065,1,0,4,0,1,f.PNG,f,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.022,1,1,5,0,1,f.PNG,f,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.015,1,2,6,3,1,j.PNG,j,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.87,1,3,7,3,1,j.PNG,j,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.069,2,0,8,0,1,f.PNG,f,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.156,2,1,9,2,1,h.PNG,h,60fcbd8c2fa267d7e2c04e88,2021-09-08_20h54.34.945,forced_choiceRT,2021.1.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
