IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
67.197.12.63,0,j,1,2.4219,0,0,0,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8357,0,1,1,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.3584,0,2,2,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0454,0,3,3,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8619,1,0,4,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.0028,1,1,5,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.737,1,2,6,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7579,1,3,7,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8739,2,0,8,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8206,2,1,9,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7176,2,2,10,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.5894,2,3,11,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,0,0.967,3,0,12,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7647,3,1,13,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,0,0.9774,3,2,14,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7909,3,3,15,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.726,4,0,16,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6535,4,1,17,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9334,4,2,18,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.9931,4,3,19,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5901,5,0,20,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.755,5,1,21,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7095,5,2,22,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8451,5,3,23,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7441,6,0,24,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.9549,6,1,25,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.5196,6,2,26,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6889,6,3,27,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,0,0.7345,7,0,28,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.6879,7,1,29,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8663,7,2,30,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.3017,7,3,31,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8538,8,0,32,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.9603,8,1,33,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6092,8,2,34,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,0,0.7028,8,3,35,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8974,9,0,36,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.0401,9,1,37,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.0613,9,2,38,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8115,9,3,39,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.7891,10,0,40,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8037,10,1,41,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6079,10,2,42,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.8937,10,3,43,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6687,11,0,44,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5648,11,1,45,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5191,11,2,46,3,1,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7938,11,3,47,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5609,12,0,48,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.94,12,1,49,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6817,12,2,50,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7251,12,3,51,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.7877,13,0,52,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6683,13,1,53,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6052,13,2,54,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.0599,13,3,55,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.852,14,0,56,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8735,14,1,57,0,1,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.982,14,2,58,2,1,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9275,14,3,59,1,1,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,2.2201,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,1.2525,1,0,1,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,1.7675,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,f,2.225,3,0,3,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,j,1.756,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,1.7753,5,0,5,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,g,2.1275,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,2.0636,7,0,7,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,f,2.0563,8,0,8,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,g,2.059,9,0,9,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,2.0851,10,0,10,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,j,1.9804,11,0,11,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,1.9781,12,0,12,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,g,2.0398,13,0,13,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,f,1.9925,14,0,14,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,g,1.9319,15,0,15,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,h,2.0191,16,0,16,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,j,1.844,17,0,17,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,g,2.1002,18,0,18,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,g,1.9954,19,0,19,0,1,,,,,,,,,,,,,,,
,1.96,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,g,1,1.9836,0,0,0,1,1,,,,,
,0.4,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,f,1,2.0231,0,1,1,0,1,,,,,
,1.89,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,j,0,1.9035,0,2,2,1,1,,,,,
,0.13,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,f,1,2.0373,0,3,3,0,1,,,,,
,1.05,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,g,1,1.8909,1,0,4,1,1,,,,,
,0.44,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Slow,j,1,2.1017,1,1,5,3,1,,,,,
,0.82,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,1,1.9349,1,2,6,2,1,,,,,
,1.11,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,0,1.9013,1,3,7,3,1,,,,,
,1.11,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,f,1,1.7852,2,0,8,0,1,,,,,
,0.91,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,1,1.8669,2,1,9,3,1,,,,,
,0.74,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,1,1.9352,2,2,10,2,1,,,,,
,1.9,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,g,0,2.0849,2,3,11,3,1,,,,,
,0.25,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,1,1.8189,3,0,12,3,1,,,,,
,0.04,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,1,1.9843,3,1,13,2,1,,,,,
,1.12,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Slow,h,0,2.1266,3,2,14,3,1,,,,,
,1.36,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,j,0,2.048,3,3,15,2,1,,,,,
,0.5,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,g,1,1.9103,4,0,16,1,1,,,,,
,0.98,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,h,1,1.8623,4,1,17,2,1,,,,,
,1.24,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,1,1.9284,4,2,18,2,1,,,,,
,0.63,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,1,1.9841,4,3,19,2,1,,,,,
,0.21,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,f,1,2.0182,5,0,20,0,1,,,,,
,1.49,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,g,1,2.0675,5,1,21,1,1,,,,,
,1.74,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Slow,h,0,2.2515,5,2,22,1,1,,,,,
,1,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,f,0,1.8896,5,3,23,1,1,,,,,
,1.61,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,f,0,1.951,6,0,24,3,1,,,,,
,0.75,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,0,1.8677,6,1,25,2,1,,,,,
,0.46,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,j,1,1.9361,6,2,26,3,1,,,,,
,1.18,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,h,1,2.0742,6,3,27,2,1,,,,,
,0.95,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,g,1,1.8698,7,0,28,1,1,,,,,
,0.68,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,f,1,2.0237,7,1,29,0,1,,,,,
,0.45,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,1,1.8411,7,2,30,3,1,,,,,
,1.3,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,0,1.6552,7,3,31,1,1,,,,,
,0.45,,,,,,,,,j.PNG,j,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,1,1.7243,8,0,32,3,1,,,,,
,1.28,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,g,0,1.7427,8,1,33,0,1,,,,,
,0.41,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,f,1,1.883,8,2,34,0,1,,,,,
,0.94,,,,,,,,,g.PNG,g,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Slow,f,0,2.1646,8,3,35,1,1,,,,,
,0.83,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Ontime,g,0,1.9025,9,0,36,0,1,,,,,
,1.12,,,,,,,,,h.PNG,h,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,j,0,1.8877,9,1,37,2,1,,,,,
,0.45,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Fast,g,0,1.8874,9,2,38,0,1,,,,,
,1.77,,,,,,,,,f.PNG,f,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,1,Slow,h,0,2.1138,9,3,39,0,1,,,,,
,,,,,,,,,,,,60fd939463ee2094a0ad7082,2021-09-08_20h54.26.381,forced_choiceRT,2021.1.2,Win32,59.95922773,,,,,,,,,,,,,,,,,,0,0,0,0,1
