IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
68.100.151.137,0,f,1,2.2111,0,0,0,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0495,0,1,1,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8367,0,2,2,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.2392,0,3,3,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6656,1,0,4,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.082,1,1,5,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8185,1,2,6,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5858,1,3,7,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8503,2,0,8,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8009,2,1,9,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0517,2,2,10,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.5502,2,3,11,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.5495,3,0,12,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8223,3,1,13,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6695,3,2,14,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.9321,3,3,15,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6026,4,0,16,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.568,4,1,17,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7839,4,2,18,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7171,4,3,19,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7868,5,0,20,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5853,5,1,21,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5286,5,2,22,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.5997,5,3,23,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.533,6,0,24,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7352,6,1,25,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.0348,6,2,26,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.5988,6,3,27,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5676,7,0,28,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6828,7,1,29,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8,7,2,30,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5812,7,3,31,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.7843,8,0,32,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.5838,8,1,33,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.4501,8,2,34,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7041,8,3,35,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.4509,9,0,36,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.451,9,1,37,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.4521,9,2,38,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6676,9,3,39,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7357,10,0,40,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,0,0.57,10,1,41,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9178,10,2,42,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.6503,10,3,43,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.488,11,0,44,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6707,11,1,45,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6002,11,2,46,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5542,11,3,47,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.5829,12,0,48,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.6334,12,1,49,1,1,g.PNG,g,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.7071,12,2,50,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6839,12,3,51,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5201,13,0,52,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7842,13,1,53,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6677,13,2,54,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.633,13,3,55,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8666,14,0,56,3,1,j.PNG,j,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5849,14,1,57,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6327,14,2,58,2,1,h.PNG,h,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,0,0.4831,14,3,59,0,1,f.PNG,f,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,f,2.1309,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,g,2.0187,1,0,1,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,h,1.9661,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,j,2.0323,3,0,3,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,f,2.0154,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,g,2.0351,5,0,5,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,h,2.0838,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,j,2.1014,7,0,7,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,f,2.0169,8,0,8,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,g,2.0862,9,0,9,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,h,1.9683,10,0,10,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,j,2.0676,11,0,11,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,f,2.016,12,0,12,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,g,2.0008,13,0,13,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,h,2.0488,14,0,14,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,j,1.9731,15,0,15,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,61072bb0994edb6da025a11b,2021-09-08_16h44.44.886,forced_choiceRT,2021.1.2,MacIntel,60.0024001,f,1.9694,16,0,16,0,1,,,,,,,,,,,,,,,
