IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
96.32.138.219,0,h,1,1.3149,0,0,0,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,2.128400001,0,1,1,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.344,0,2,2,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.5736,0,3,3,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.6787,1,0,4,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.7429,1,1,5,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.4428,1,2,6,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.9842,1,3,7,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.208099999,2,0,8,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.3795,2,1,9,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.4728,2,2,10,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,3.1025,2,3,11,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,0,1.0611,3,0,12,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.6767,3,1,13,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.8898,3,2,14,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.2925,3,3,15,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.246,4,0,16,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.6755,4,1,17,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.1205,4,2,18,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.010700001,4,3,19,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.662,5,0,20,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.2833,5,1,21,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8922,5,2,22,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.540200001,5,3,23,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.556900001,6,0,24,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8107,6,1,25,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.746299999,6,2,26,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5499,6,3,27,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.678,7,0,28,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7271,7,1,29,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.479200001,7,2,30,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.4584,7,3,31,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.8233,8,0,32,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.528400001,8,1,33,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.4571,8,2,34,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,0,0.5095,8,3,35,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,0,0.3136,9,0,36,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,0,0.448,9,1,37,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.7293,9,2,38,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7479,9,3,39,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.114599999,10,0,40,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8113,10,1,41,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9493,10,2,42,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7587,10,3,43,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.755900001,11,0,44,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8467,11,1,45,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.577599999,11,2,46,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.892,11,3,47,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.643099999,12,0,48,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7723,12,1,49,1,1,g.PNG,g,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.828400001,12,2,50,2,1,h.PNG,h,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6883,12,3,51,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6147,13,0,52,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7614,13,1,53,3,1,j.PNG,j,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.763900001,13,2,54,0,1,f.PNG,f,6109a5154bfaad8f41606b51,2021-09-08_20h59.49.402,forced_choiceRT,2021.1.2,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,
