IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
104.175.46.153,0,g,1,5.6165,0,0,0,1,1,g.PNG,g,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.081,0,1,1,2,1,h.PNG,h,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.8105,0,2,2,0,1,f.PNG,f,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.5521,0,3,3,0,1,f.PNG,f,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.584,1,0,4,1,1,g.PNG,g,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9012,1,1,5,1,1,g.PNG,g,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.722,1,2,6,3,1,j.PNG,j,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.4681,1,3,7,2,1,h.PNG,h,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.6206,2,0,8,3,1,j.PNG,j,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.8057,2,1,9,3,1,j.PNG,j,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.7727,2,2,10,1,1,g.PNG,g,610afc69d32d0b52165ca115,2021-09-08_18h20.24.463,forced_choiceRT,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
