IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
71.79.47.222,0,h,1,3.263,0,0,0,2,1,h.PNG,h,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0769,0,1,1,1,1,g.PNG,g,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6317,0,2,2,0,1,f.PNG,f,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6298,0,3,3,0,1,f.PNG,f,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5329,1,0,4,0,1,f.PNG,f,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,h,0,0.8549,1,1,5,1,1,g.PNG,g,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7927,1,2,6,3,1,j.PNG,j,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.7651,1,3,7,1,1,g.PNG,g,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.9162,2,0,8,3,1,j.PNG,j,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7241,2,1,9,1,1,g.PNG,g,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5994,2,2,10,0,1,f.PNG,f,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6812,2,3,11,2,1,h.PNG,h,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.732,3,0,12,2,1,h.PNG,h,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.0169,3,1,13,1,1,g.PNG,g,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5841,3,2,14,0,1,f.PNG,f,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7848,3,3,15,0,1,f.PNG,f,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7857,4,0,16,3,1,j.PNG,j,610c2d6cad3f3f38381bc9b6,2021-09-08_20h54.05.407,forced_choiceRT,2021.1.2,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,
