IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
104.229.188.92,0,g,1,2.3989,0,0,0,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.9266,0,1,1,2,1,h.PNG,h,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.679,0,2,2,3,1,j.PNG,j,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6703,0,3,3,3,1,j.PNG,j,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.6846,1,0,4,2,1,h.PNG,h,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8003,1,1,5,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6849,1,2,6,0,1,f.PNG,f,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7364,1,3,7,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8516,2,0,8,0,1,f.PNG,f,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5449,2,1,9,0,1,f.PNG,f,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7129,2,2,10,3,1,j.PNG,j,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5521,2,3,11,3,1,j.PNG,j,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.763,3,0,12,2,1,h.PNG,h,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.9346,3,1,13,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.5634,3,2,14,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7205,3,3,15,3,1,j.PNG,j,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6289,4,0,16,0,1,f.PNG,f,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,0.9005,4,1,17,2,1,h.PNG,h,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.7229,4,2,18,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.5043,4,3,19,1,1,g.PNG,g,610eedb873951ea1ebab3912,2021-09-08_20h55.26.500,forced_choiceRT,2021.1.2,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,
