IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
96.240.141.15,0,f,1,2.3516,0,0,0,0,1,f.PNG,f,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,2.15,0,1,1,0,1,f.PNG,f,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.3313,0,2,2,1,1,g.PNG,g,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.5668,0,3,3,0,1,f.PNG,f,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.3587,1,0,4,2,1,h.PNG,h,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.405,1,1,5,1,1,g.PNG,g,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.0092,1,2,6,3,1,j.PNG,j,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.7664,1,3,7,3,1,j.PNG,j,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.267,2,0,8,1,1,g.PNG,g,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,0.8178,2,1,9,1,1,g.PNG,g,5b25d4db0ec82d0001d1fdde,2021-10-19_15h46.09.406,forced_choiceRT,2021.1.2,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,
