IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
96.253.116.146,0,j,1,2.6071,0,0,0,3,1,j.PNG,j,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.371,0,1,1,0,1,f.PNG,f,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,2.0522,0,2,2,1,1,g.PNG,g,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.2123,0,3,3,3,1,j.PNG,j,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.2682,1,0,4,1,1,g.PNG,g,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,1.4225,1,1,5,2,1,h.PNG,h,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.9417,1,2,6,3,1,j.PNG,j,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,g,1,1.3487,1,3,7,1,1,g.PNG,g,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8753,2,0,8,3,1,j.PNG,j,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
,0,h,1,2.1551,2,1,9,2,1,h.PNG,h,610325a6052741bbfb84bcd1,2021-10-19_21h15.03.025,forced_choiceRT,2021.1.2,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,
