participant,exp
573dacc5b3a71f00146e7d88,memory2
5a8352feae9a0b0001a9da8f,memory2
5a9262251eda410001360b2c,memory2
5b05e0d131cebe000177c38e,memory2
5b25d4db0ec82d0001d1fdde,memory2
5b98d9362cca9c0001de161f,memory2
5c46540c4b9ebe00012eef7f,memory2
5d829da97f572900184a7cb1,memory2
5d88f010859c9e0001810e88,memory2
5dc3a77d84799a2a402e531e,memory2
5f1b2a0146ce431186055813,memory2
5f1f31b2a78ed40ea1d5e843,memory2
5f53d4f0d3e03471e4eb4847,memory2
5f5b0f1be585c32184a4cf35,memory2
5fa4c21a04bc5912180291bc,memory2
6078b4ad9006e4f6572dde97,memory2
6090539b97cb68d8aaf813a3,memory2
609ecea08adc775458870a17,memory2
60b91e7f81b40fd08d67baaa,memory2
60f5eba9476ad9bc1d4252e9,memory2
60fcebda736e99e7729eb0c6,memory2
60fd22c43ca0a22679d24c9f,memory2
6101930ddd5330f83b898c61,memory2
610325a6052741bbfb84bcd1,memory2
610898813e48dc2864965122,memory2
6111299ba7aede3df217d7fe,memory2
6112a0826f404dc5c6ece834,memory2
611688156f6d22853511ffb3,memory2
6123437590813a40d1fad393,memory2
6126ad6624eb5fa24cc7eacb,memory2
61292a3404d387db5b0b2a32,memory2
612d384d2854531514c9be92,memory2
6133f1716622e58b7ba8a8ba,memory2
613f33f2e40fd13e4220888b,memory2
6140adb00d791e6bd0ab2ff5,memory2
6144b2f861393e7e248fcf00,memory2
61452bbe86c21c0347085911,memory2
6149fe74f3ae7e973379aac3,memory2
614ca7f8fc7cba1b74101bfe,memory2
614dff99a7df5de140464ec3,memory2
6150c10799b5a7741caf1dec,memory2
6152555256f6a092ea9a4ff4,memory2
61589a4cf5deaf0be63bf31e,memory2
615ddab1e4f013092538b6c5,memory2
616480e6749791ef8dcad5b3,memory2
6165a8ee6dde7ff6f4b22e6f,memory2
