IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
160.3.219.12,0,d,1,0.7768,0,0,0,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7316,0,1,1,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6289,0,2,2,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5699,0,3,3,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6241,1,0,4,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4668,1,1,5,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4279,1,2,6,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.51,1,3,7,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6021,2,0,8,2,1,j,red,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4262,2,1,9,3,1,k,purple,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5003,2,2,10,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4108,2,3,11,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.3572,3,0,12,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5609,3,1,13,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.626,3,2,14,3,1,k,purple,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.7024,3,3,15,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5193,4,0,16,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5481,4,1,17,3,1,k,purple,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5038,4,2,18,0,1,d,orange,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5374,4,3,19,3,1,k,purple,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5689,5,0,20,2,1,j,red,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5033,5,1,21,3,1,k,purple,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4346,5,2,22,3,1,k,purple,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5203,5,3,23,2,1,j,red,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,d,0,0.506,6,0,24,1,1,f,blue,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5822,6,1,25,2,1,j,red,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.46,6,2,26,2,1,j,red,5798be2b913c710001976173,2021-09-27_12h45.29.527,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
