IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
73.64.187.218,0,j,1,0.8187,0,0,0,2,1,j,red,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.7068,0,1,1,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5877,0,2,2,0,1,d,orange,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7199,0,3,3,2,1,j,red,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6229,1,0,4,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6104,1,1,5,1,1,f,blue,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,d,0,0.6619,1,2,6,2,1,j,red,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.7864,1,3,7,0,1,d,orange,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5142,2,0,8,0,1,d,orange,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.7613,2,1,9,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4991,2,2,10,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.498,2,3,11,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5704,3,0,12,2,1,j,red,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.7336,3,1,13,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.7838,3,2,14,1,1,f,blue,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.7708,3,3,15,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4506,4,0,16,3,1,k,purple,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.685,4,1,17,1,1,f,blue,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7147,4,2,18,2,1,j,red,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.6223,4,3,19,0,1,d,orange,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6546,5,0,20,2,1,j,red,5a33d736bf4d770001e6097a,2021-09-28_13h04.37.204,forced_choiceRT_color,2021.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,
