IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
71.95.192.179,0,f,1,3.1,0,0,0,1,1,f,blue,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.5851,0,1,1,2,1,j,red,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.1125,0,2,2,0,1,d,orange,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.686,0,3,3,0,1,d,orange,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.3281,1,0,4,3,1,k,purple,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.3173,1,1,5,2,1,j,red,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.4194,1,2,6,2,1,j,red,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.1524,1,3,7,0,1,d,orange,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.6809,2,0,8,3,1,k,purple,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.2191,2,1,9,3,1,k,purple,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,3.1998,2,2,10,2,1,j,red,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.4024,2,3,11,1,1,f,blue,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8579,3,0,12,1,1,f,blue,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.9176,3,1,13,3,1,k,purple,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8875,3,2,14,2,1,j,red,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6233,3,3,15,1,1,f,blue,5f0c61f219803a07239a4269,2021-09-27_14h09.16.151,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
