IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
70.113.36.37,0,j,1,2.5908,0,0,0,2,1,j,red,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.308,0,1,1,0,1,d,orange,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.5352,0,2,2,0,1,d,orange,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.159,0,3,3,1,1,f,blue,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.1347,1,0,4,1,1,f,blue,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6577,1,1,5,1,1,f,blue,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5924,1,2,6,1,1,f,blue,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.2284,1,3,7,3,1,k,purple,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5251,2,0,8,3,1,k,purple,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.5517,2,1,9,2,1,j,red,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8343,2,2,10,2,1,j,red,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.8248,2,3,11,0,1,d,orange,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.6663,3,0,12,0,1,d,orange,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.963,3,1,13,3,1,k,purple,5fde82a1dd8cf15d19961474,2021-09-27_16h13.52.144,forced_choiceRT_color,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,
