IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
172.11.243.101,0,d,1,3.1754,0,0,0,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.6844,0,1,1,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4042,0,2,2,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6565,0,3,3,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5339,1,0,4,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5768,1,1,5,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4621,1,2,6,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5841,1,3,7,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5506,2,0,8,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6647,2,1,9,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5907,2,2,10,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.4346,2,3,11,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5505,3,0,12,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5241,3,1,13,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7525,3,2,14,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.4299,3,3,15,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.674,4,0,16,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4437,4,1,17,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6005,4,2,18,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5007,4,3,19,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5185,5,0,20,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5393,5,1,21,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.8605,5,2,22,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.4338,5,3,23,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.4012,6,0,24,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.4672,6,1,25,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4896,6,2,26,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.4031,6,3,27,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5502,7,0,28,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.3562,7,1,29,1,1,f,blue,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.5127,7,2,30,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4889,7,3,31,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6673,8,0,32,2,1,j,red,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5508,8,1,33,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4505,8,2,34,3,1,k,purple,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5675,8,3,35,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5178,9,0,36,0,1,d,orange,610041aee58af3bd8a5a7478,2021-10-22_12h50.39.415,forced_choiceRT_color,2021.2.3,Win32,59.1401029,,,,,,,,,,,,,,,,,,,,,,,
