IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
73.71.180.34,0,d,1,1.0594,0,0,0,0,1,d,orange,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,f,0,1.1215,0,1,1,0,1,d,orange,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.9735,0,2,2,3,1,k,purple,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,2.0296,0,3,3,2,1,j,red,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.9494,1,0,4,0,1,d,orange,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.071,1,1,5,3,1,k,purple,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.6473,1,2,6,1,1,f,blue,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.996,1,3,7,3,1,k,purple,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.2632,2,0,8,1,1,f,blue,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.9617,2,1,9,0,1,d,orange,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.6138,2,2,10,2,1,j,red,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.6829,2,3,11,1,1,f,blue,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8329,3,0,12,1,1,f,blue,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.14,3,1,13,2,1,j,red,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6543,3,2,14,3,1,k,purple,5a1e5764074b1900012532c2,2021-09-27_10h11.44.684,forced_choiceRT_color,2021.2.3,Win32,58.27166249,,,,,,,,,,,,,,,,,,,,,,,
