IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
98.227.17.116,0,k,1,1.7057,0,0,0,3,1,k,purple,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.0633,0,1,1,0,1,d,orange,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.566,0,2,2,0,1,d,orange,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7168,0,3,3,2,1,j,red,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,0,0.8106,1,0,4,0,1,d,orange,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.3757,1,1,5,1,1,f,blue,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.1748,1,2,6,2,1,j,red,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.064,1,3,7,2,1,j,red,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.2571,2,0,8,3,1,k,purple,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.858,2,1,9,0,1,d,orange,5eb97048fcd12c0594dbf1f9,2021-09-27_16h14.19.410,forced_choiceRT_color,2021.2.3,Linux aarch64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
