IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
68.43.178.133,0,k,1,2.0468,0,0,0,3,1,k,purple,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,0,1.0402,0,1,1,2,1,j,red,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.1675,0,2,2,2,1,j,red,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,1.3663,0,3,3,1,1,f,blue,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.9696,1,0,4,0,1,d,orange,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,1.0238,1,1,5,2,1,j,red,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.77,1,2,6,3,1,k,purple,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.908,1,3,7,3,1,k,purple,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6462,2,0,8,3,1,k,purple,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4884,2,1,9,3,1,k,purple,5f11f98efbaf2b0ef855ec6b,2021-09-27_17h10.33.199,forced_choiceRT_color,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,
