IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
70.168.89.174,0,k,1,2.4381,0,0,0,3,1,k,purple,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.9349,0,1,1,2,1,j,red,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,1.0191,0,2,2,3,1,k,purple,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.9874,0,3,3,1,1,f,blue,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.498,1,0,4,0,1,d,orange,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7084,1,1,5,2,1,j,red,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,1.0401,1,2,6,0,1,d,orange,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5478,1,3,7,1,1,f,blue,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.747,2,0,8,2,1,j,red,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.8197,2,1,9,1,1,f,blue,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5717,2,2,10,3,1,k,purple,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6089,2,3,11,3,1,k,purple,5fa4ce917648f90008a584ab,2021-10-22_11h07.35.954,forced_choiceRT_color,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
