IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
76.168.127.14,0,j,1,0.8364,0,0,0,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5827,0,1,1,3,1,k,purple,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5659,0,2,2,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5319,0,3,3,0,1,d,orange,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.5641,1,0,4,0,1,d,orange,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.6138,1,1,5,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.4553,1,2,6,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.517,1,3,7,0,1,d,orange,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.505,2,0,8,3,1,k,purple,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5315,2,1,9,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.4995,2,2,10,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5013,2,3,11,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,d,1,0.3871,3,0,12,0,1,d,orange,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.5326,3,1,13,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.6239,3,2,14,3,1,k,purple,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.6926,3,3,15,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,f,1,0.572,4,0,16,1,1,f,blue,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.518,4,1,17,3,1,k,purple,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.5186,4,2,18,3,1,k,purple,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.7102,4,3,19,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.4571,5,0,20,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.4575,5,1,21,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.4263,5,2,22,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,j,1,0.4392,5,3,23,2,1,j,red,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
,0,k,1,0.4978,6,0,24,3,1,k,purple,5fbc1367373b9307763985c0,2021-09-27_17h10.55.564,forced_choiceRT_color,2021.2.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,,
